individual,group,sex,audio_name,syllable,syllable_number,start_frequency,end_frequency,f0,min_f0,max_f0,range,duration,slope,fex,concavity
A5,can_tutored,female,A5_3_14_Theme_1_C,F,9,6187.5,3562.5,5375,3562.5,6562.5,3000,53.333333,6.061422414,0.346650217,0
A5,can_tutored,female,A5_3_14_Theme_1_C,H,10,6375,4500,5965.909091,4500,6562.5,2062.5,56,3.463669951,0.225266397,0
A5,can_tutored,female,A5_3_14_Theme_1_C,E,11,6375,3000,4111.778846,2812.5,6750,3937.5,413.333333,7.664766407,3.309833657,24
A5,can_tutored,female,A5_3_14_Theme_1_C,A,12,3562.5,3562.5,3562.5,3562.5,3562.5,0,13.333333,0,0.013333333,0
A5,can_tutored,female,A5_3_14_Theme_1_C,A,13,3375,3562.5,3500,3375,3562.5,187.5,21.333333,2.273033405,0.062480194,0
A5,can_tutored,female,A5_3_14_Theme_1_C,A,14,3562.5,3562.5,3541.666667,3375,3562.5,187.5,21.333333,1.515355603,0.048764573,0
A5,can_tutored,female,A5_3_14_Theme_1_C,A,15,3562.5,3562.5,3562.5,3562.5,3562.5,0,21.333333,0,0.021333333,0
A5,can_tutored,female,A5_3_14_Theme_1_C,A,16,3562.5,3562.5,3543.75,3375,3562.5,187.5,24,1.346982759,0.05143124,0
A5,can_tutored,female,A5_3_14_Theme_1_C,A,17,3375,3375,3468.75,3375,3562.5,187.5,24,1.346982759,0.05143124,0
A5,can_tutored,female,A5_3_14_Theme_1_C,A,18,3562.5,3375,3500,3375,3562.5,187.5,29.333333,0.551038401,0.043048953,0
A5,can_tutored,female,A5_3_14_Theme_1_C,A,19,3562.5,3375,3500,3187.5,3562.5,375,29.333333,1.653115204,0.070480194,0
A5,can_tutored,female,A5_3_14_Theme_1_C,A,20,3562.5,3375,3500,3375,3562.5,187.5,29.333333,0.551038401,0.043048953,0
A5,can_tutored,female,A5_3_14_Theme_1_C,A,21,3562.5,3375,3515.625,3375,3562.5,187.5,29.333333,0.551038401,0.043048953,0
A5,can_tutored,female,A5_3_14_Theme_1_C,A,22,3562.5,3375,3508.928571,3375,3562.5,187.5,34.666667,0.466263263,0.048382287,0
A5,can_tutored,female,A5_3_14_Theme_1_C,A,23,3562.5,3375,3504.807692,3375,3562.5,187.5,32,0.505118534,0.04571562,0
A5,can_tutored,female,A5_3_14_Theme_1_C,A,24,3375,3375,3477.272727,3375,3562.5,187.5,26.666667,1.212284483,0.054097907,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,1,3562.5,3562.5,3618.75,3562.5,3750,187.5,50.666667,1.276088929,0.105529147,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,2,3750,3750,3734.375,3562.5,3750,187.5,61.333333,1.05416042,0.116195814,0
A5,can_tutored,female,A5_3_14_Theme_2_A,B,3,6375,3750,4756.578947,3750,6375,2625,48,6.061422414,0.316473724,0
A5,can_tutored,female,A5_3_14_Theme_2_A,C,4,6750,2812.5,3639.112903,2625,6750,4125,501.333333,8.420462488,4.310216515,31
A5,can_tutored,female,A5_3_14_Theme_2_A,D,5,5437.5,3562.5,4537.5,3562.5,5437.5,1875,64,3.535829741,0.260697637,0
A5,can_tutored,female,A5_3_14_Theme_2_A,E,6,6187.5,2625,4035.483871,2437.5,6562.5,4125,410.666667,8.619814991,3.692490397,40
A5,can_tutored,female,A5_3_14_Theme_2_A,D,7,5250,3750,4568.181818,3562.5,5250,1687.5,56,2.886391626,0.193156201,0
A5,can_tutored,female,A5_3_14_Theme_2_A,E,8,6187.5,3000,4487.704918,3000,6562.5,3562.5,322.666667,6.963121616,2.381744016,16
A5,can_tutored,female,A5_3_14_Theme_2_A,D,9,5062.5,3562.5,4550.480769,3562.5,5250,1687.5,66.666667,2.424568966,0.203822867,0
A5,can_tutored,female,A5_3_14_Theme_2_A,F,10,6562.5,3562.5,5550,3562.5,6750,3187.5,50.666667,6.380444646,0.341499743,0
A5,can_tutored,female,A5_3_14_Theme_2_A,E,11,6375,2812.5,4208.614865,2812.5,6750,3937.5,392,6.556232407,2.729078722,10
A5,can_tutored,female,A5_3_14_Theme_2_A,A,12,3562.5,3562.5,3562.5,3562.5,3562.5,0,8,0,0.008,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,13,3562.5,3562.5,3562.5,3562.5,3562.5,0,18.666667,0,0.018666667,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,14,3562.5,3562.5,3632.8125,3562.5,3750,187.5,18.666667,3.463669951,0.073529147,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,15,3562.5,3562.5,3585.9375,3562.5,3750,187.5,18.666667,1.731834975,0.046097907,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,16,3562.5,3562.5,3562.5,3562.5,3562.5,0,26.666667,0,0.026666667,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,17,3562.5,3375,3543.75,3375,3562.5,187.5,24,0.673491379,0.03771562,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,18,3562.5,3375,3511.363636,3375,3562.5,187.5,26.666667,1.818426724,0.067813527,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,19,3562.5,3375,3528.409091,3375,3562.5,187.5,26.666667,1.818426724,0.067813527,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,20,3562.5,3562.5,3583.333333,3562.5,3750,187.5,21.333333,1.515355603,0.048764573,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,21,3562.5,3562.5,3581.25,3562.5,3750,187.5,24,1.346982759,0.05143124,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,22,3562.5,3562.5,3562.5,3562.5,3562.5,0,26.666667,0,0.026666667,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,23,3562.5,3562.5,3578.125,3562.5,3750,187.5,29.333333,1.102076803,0.056764573,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,24,3562.5,3375,3548.076923,3375,3562.5,187.5,32,0.505118534,0.04571562,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,25,3562.5,3562.5,3562.5,3562.5,3562.5,0,40,0,0.04,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,26,3750,3562.5,3587.5,3562.5,3750,187.5,37.333333,1.298876232,0.078480194,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,27,3562.5,3562.5,3562.5,3562.5,3562.5,0,34.666667,0,0.034666667,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,28,3562.5,3562.5,3573.529412,3562.5,3750,187.5,42.666667,0.757677802,0.070097907,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,29,3562.5,3562.5,3551.470588,3375,3562.5,187.5,42.666667,0.757677802,0.070097907,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,30,3562.5,3562.5,3541.666667,3375,3562.5,187.5,45.333333,0.713108519,0.072764573,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,31,3562.5,3562.5,3562.5,3562.5,3562.5,0,42.666667,0,0.042666667,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,32,3562.5,3562.5,3562.5,3562.5,3562.5,0,37.333333,0,0.037333333,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,33,3750,3562.5,3703.125,3562.5,3750,187.5,50.666667,0.319022232,0.064382287,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,34,3750,3562.5,3707.386364,3562.5,3750,187.5,56,0.865917488,0.09714686,0
A5,can_tutored,female,A5_3_14_Theme_2_A,B,35,5812.5,3750,4470.394737,3562.5,5812.5,2250,48,4.377693966,0.243041043,0
A5,can_tutored,female,A5_3_14_Theme_2_A,C,36,6562.5,2812.5,3597.039474,2250,6750,4500,504,8.210180624,4.319866966,43
A5,can_tutored,female,A5_3_14_Theme_2_A,D,37,4500,3562.5,4430.555556,3562.5,5250,1687.5,69.333333,3.030711207,0.249975872,1
A5,can_tutored,female,A5_3_14_Theme_2_A,E,38,6562.5,2812.5,4132.978723,2437.5,6750,4312.5,373.333333,8.572583128,3.314099773,29
A5,can_tutored,female,A5_3_14_Theme_2_A,D,39,4875,3750,4597.222222,3562.5,5437.5,1875,69.333333,3.263842838,0.268370449,1
A5,can_tutored,female,A5_3_14_Theme_2_A,E,40,6375,3000,4316.489362,3000,6562.5,3562.5,373.333333,6.840748153,2.701381083,20
A5,can_tutored,female,A5_3_14_Theme_2_A,D,41,4500,3562.5,4525.862069,3562.5,5250,1687.5,74.666667,3.680149323,0.312511164,1
A5,can_tutored,female,A5_3_14_Theme_2_A,E,42,6187.5,3000,4185.483871,3000,6562.5,3562.5,410.666667,7.439018417,3.203831564,26
A5,can_tutored,female,A5_3_14_Theme_2_A,D,43,5062.5,3375,4390.625,3375,5250,1875,61.333333,2.898941154,0.214544632,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,44,3562.5,3562.5,3583.333333,3562.5,3750,187.5,21.333333,1.515355603,0.048764573,0
A5,can_tutored,female,A5_3_14_Theme_2_A,A,45,3562.5,3375,3541.666667,3375,3562.5,187.5,21.333333,0.757677802,0.035048953,0
A6,noise_reared,female,A6_2_23_Theme_1_A,A,1,2812.5,2062.5,2058.894231,1875,2812.5,937.5,136,1.188514199,0.275495679,0
A6,noise_reared,female,A6_2_23_Theme_1_A,F,12,5437.5,3375,3696.674312,3000,5437.5,2437.5,288,0.841864224,0.493734301,0
A6,noise_reared,female,A6_2_23_Theme_1_A,C,3,7312.5,6750,6984.375,6750,7312.5,562.5,8,6.061422414,0.051486338,0
A6,noise_reared,female,A6_2_23_Theme_1_A,C,4,7312.5,6937.5,7078.125,6937.5,7312.5,375,8,4.040948276,0.03543124,0
A6,noise_reared,female,A6_2_23_Theme_1_A,C,5,7687.5,6937.5,7343.75,6937.5,7687.5,750,13.333333,4.849137931,0.070535292,0
A6,noise_reared,female,A6_2_23_Theme_1_A,C,6,7687.5,6750,7200,6750,7687.5,937.5,10.666667,7.576778017,0.083923723,0
A6,noise_reared,female,A6_2_23_Theme_1_A,C,7,7500,6750,6984.375,6375,7500,1125,8,16.1637931,0.129682619,0
A6,noise_reared,female,A6_2_23_Theme_1_A,D,8,7312.5,4312.5,6335.9375,4312.5,7312.5,3000,61.333333,4.743721889,0.320172153,0
A6,noise_reared,female,A6_2_23_Theme_1_A,E,9,5437.5,4125,4899.456522,4125,5437.5,1312.5,58.666667,1.928634404,0.154676007,0
A6,noise_reared,female,A6_2_23_Theme_1_A,E,10,5625,4125,4921.875,4125,5625,1500,61.333333,2.10832084,0.171058294,0
A6,noise_reared,female,A6_2_23_Theme_1_A,E,11,5437.5,3937.5,4680.288462,3937.5,5437.5,1500,66.666667,1.939655172,0.176391627,0
A6,noise_reared,female,A6_2_23_Theme_1_A,G,13,2812.5,2812.5,2812.5,2812.5,2812.5,0,26.666667,0,0.026666667,0
A6,noise_reared,female,A6_2_23_Theme_1_A,H,14,3000,1875,2641.447368,1875,3000,1125,149.333333,0.865917488,0.259058294,0
A6,noise_reared,female,A6_2_23_Theme_1_A,I,15,2812.5,2250,3646.875,2250,5250,3000,424,4.384047658,2.088470776,5
A6,noise_reared,female,A6_2_23_Theme_1_A,B,2,2812.5,3000,3002.717391,1875,4687.5,2812.5,549.333333,4.384232717,2.696601935,6
A6,noise_reared,female,A6_2_23_Theme_1_B,F,1,6187.5,2625,3643.348624,2625,6187.5,3562.5,288,1.290858477,0.608138218,0
A6,noise_reared,female,A6_2_23_Theme_1_B,G,2,2812.5,2812.5,2695.3125,2625,2812.5,187.5,18.666667,3.463669951,0.073529147,0
A6,noise_reared,female,A6_2_23_Theme_1_B,H,3,3000,2062.5,2668.269231,2062.5,3000,937.5,144,0.594257099,0.2125781,0
A6,noise_reared,female,A6_2_23_Theme_1_B,I,4,2812.5,2062.5,3583.609272,2062.5,4687.5,2625,400,5.818965517,2.509880055,15
A6,noise_reared,female,A6_2_23_Theme_1_B,L,10,3937.5,3375,3941.105769,3375,4125,750,136,0.831959939,0.234348819,0
A6,noise_reared,female,A6_2_23_Theme_1_B,K,6,3937.5,3187.5,3661.764706,3187.5,3937.5,750,42.666667,1.515355603,0.097529147,0
A6,noise_reared,female,A6_2_23_Theme_1_B,J,5,3937.5,2625,3375.794492,2437.5,4687.5,2250,632,15.52755869,10.03134943,90
A6,noise_reared,female,A6_2_23_Theme_1_B,K,8,4125,2437.5,3606.617647,2437.5,4125,1687.5,42.666667,3.409550108,0.170858368,0
A6,noise_reared,female,A6_2_23_Theme_1_B,L,9,3937.5,3187.5,3892.663043,3187.5,4125,937.5,125.333333,0.808189655,0.209966532,0
A6,noise_reared,female,A6_2_23_Theme_1_B,K,7,4125,3000,3716.911765,3000,4125,1125,42.666667,2.273033405,0.124960387,0
A6,noise_reared,female,A6_2_23_Theme_1_B,M,11,4312.5,5062.5,4903.125,4312.5,5250,937.5,50.666667,2.552177858,0.160391627,0
A6,noise_reared,female,A6_2_23_Theme_1_B,E,12,5812.5,4500,5046.195652,4312.5,5812.5,1500,58.666667,3.030711207,0.211877966,0
A6,noise_reared,female,A6_2_23_Theme_1_B,E,13,5437.5,3937.5,4669.642857,3937.5,5437.5,1500,53.333333,3.636853448,0.220260252,0
A6,noise_reared,female,A6_2_23_Theme_1_B,F,14,5250,2812.5,3596.428571,2812.5,5250,2437.5,277.333333,0.990809433,0.512838353,0
A6,noise_reared,female,A6_2_23_Theme_1_B,G,15,2812.5,2812.5,2737.5,2625,2812.5,187.5,24,4.040948276,0.10629372,0
A6,noise_reared,female,A6_2_23_Theme_1_B,H,16,2812.5,2062.5,2534.482759,1875,2812.5,937.5,152,0.638044465,0.23429372,0
A6,noise_reared,female,A6_2_23_Theme_1_B,I,17,2812.5,1875,3572.789634,1875,5062.5,3187.5,434.666667,5.912675851,2.778336528,9
A6,noise_reared,female,A6_2_23_Theme_1_B,C,18,7312.5,6937.5,7031.25,6750,7312.5,562.5,8,8.081896552,0.065201958,0
A6,noise_reared,female,A6_2_23_Theme_1_B,C,19,7312.5,6937.5,7078.125,6937.5,7312.5,375,8,4.040948276,0.03543124,0
A6,noise_reared,female,A6_2_23_Theme_1_B,C,20,7500,7500,7406.25,7312.5,7500,187.5,8,4.040948276,0.03543124,0
A6,noise_reared,female,A6_2_23_Theme_1_B,C,21,7687.5,6937.5,7237.5,6937.5,7687.5,750,10.666667,6.061422414,0.067868625,0
A6,noise_reared,female,A6_2_23_Theme_1_B,C,22,7500,6937.5,7078.125,6750,7500,750,8,10.10237069,0.081257057,0
A6,noise_reared,female,A6_2_23_Theme_1_B,C,23,7312.5,6750,6703.125,6187.5,7312.5,1125,8,18.18426724,0.145712174,1
A6,noise_reared,female,A6_2_23_Theme_1_B,D,24,6562.5,4125,5869.565217,4125,7125,3000,58.666667,7.439018417,0.457441199,2
A6,noise_reared,female,A6_2_23_Theme_1_B,E,25,6000,4125,5139.204545,4125,6000,1875,56,2.886391626,0.193156201,0
A6,noise_reared,female,A6_2_23_Theme_1_B,E,26,5625,4125,4883.928571,4125,5625,1500,53.333333,2.424568966,0.163058294,0
A6,noise_reared,female,A6_2_23_Theme_1_B,E,27,5625,3937.5,4840.277778,3937.5,5625,1687.5,69.333333,2.098184682,0.192773914,0
A6,noise_reared,female,A6_2_23_Theme_1_B,F,28,6000,2437.5,3706.31068,2437.5,6000,3562.5,272,1.247939909,0.569646202,0
A6,noise_reared,female,A6_2_23_Theme_1_B,G,29,2625,2812.5,2705.357143,2625,2812.5,187.5,16,1.010237069,0.02971562,0
A6,noise_reared,female,A6_2_23_Theme_1_B,H,30,3000,1875,2611.111111,1875,3000,1125,141.333333,1.143664606,0.278489534,0
A6,noise_reared,female,A6_2_23_Theme_1_B,I,31,2625,1687.5,3536.16573,1687.5,5250,3562.5,472,5.034062683,2.601383378,7
A6,noise_reared,female,A6_2_23_Theme_1_B,Q,32,5625,6562.5,5587.5,3750,6562.5,2812.5,10.666667,37.88389009,0.407019091,1
A6,noise_reared,female,A6_2_23_Theme_1_B,Q,33,3937.5,2625,3234.375,2625,3937.5,1312.5,8,14.14331897,0.116068367,0
A6,noise_reared,female,A6_2_23_Theme_1_B,N,34,7125,6937.5,6993.75,6750,7312.5,562.5,50.666667,2.233155626,0.149015485,0
A6,noise_reared,female,A6_2_23_Theme_1_B,O,35,7500,6187.5,7059.375,6187.5,7687.5,1500,50.666667,2.871200091,0.174107247,0
A6,noise_reared,female,A6_2_23_Theme_1_B,D,36,6562.5,3937.5,5800.403226,3937.5,6937.5,3000,80,3.636853448,0.336239074,0
A6,noise_reared,female,A6_2_23_Theme_1_B,E,37,5437.5,4312.5,4960.227273,4312.5,5437.5,1125,56,1.731834975,0.13829372,0
A6,noise_reared,female,A6_2_23_Theme_1_B,E,38,5437.5,4312.5,4850.543478,4312.5,5437.5,1125,58.666667,2.204153605,0.168391627,0
A6,noise_reared,female,A6_2_23_Theme_1_B,E,39,5812.5,3937.5,4679.6875,3937.5,5812.5,1875,61.333333,3.162481259,0.225920774,0
A6,noise_reared,female,A6_2_23_Theme_1_B,F,40,5437.5,2437.5,3569.711538,2437.5,5437.5,3000,274.666667,1.059277703,0.521547828,0
A6,noise_reared,female,A6_2_23_Theme_1_B,G,41,2625,2625,2651.785714,2625,2812.5,187.5,16,2.020474138,0.04343124,0
A6,noise_reared,female,A6_2_23_Theme_1_B,H,42,2812.5,1875,2573.863636,1875,3000,1125,144,0.785739943,0.24000934,0
A6,noise_reared,female,A6_2_23_Theme_1_B,I,43,2812.5,1875,3672.52994,1875,5250,3375,442.666667,6.901258049,3.251357894,19
A6,noise_reared,female,A6_2_23_Theme_1_B,Q,44,6375,3750,5203.125,3750,6375,2625,8,28.28663793,0.226452761,0
A6,noise_reared,female,A6_2_23_Theme_1_B,C,45,6750,6937.5,6956.25,6562.5,7312.5,750,26.666667,4.714439655,0.154786204,1
A6,noise_reared,female,A6_2_23_Theme_1_B,C,46,7500,6937.5,7125,6750,7500,750,8,10.10237069,0.081329221,0
A6,noise_reared,female,A6_2_23_Theme_1_B,C,47,7312.5,6937.5,6984.375,6750,7312.5,562.5,8,8.081896552,0.065201958,0
A6,noise_reared,female,A6_2_23_Theme_1_B,N,48,7500,7500,7473.214286,7125,7687.5,562.5,34.666667,3.730106101,0.146731105,0
A6,noise_reared,female,A6_2_23_Theme_1_B,N,49,7687.5,7500,7400,7312.5,7687.5,375,37.333333,3.030711207,0.133342674,0
A6,noise_reared,female,A6_2_23_Theme_1_B,D,50,7312.5,4500,6220.982143,4500,7312.5,2812.5,72,4.265445402,0.337275738,0
A6,noise_reared,female,A6_2_23_Theme_1_B,E,51,5812.5,4125,5317.5,4125,6000,1875,64,2.77815194,0.214871821,0
A6,noise_reared,female,A6_2_23_Theme_1_B,E,52,5812.5,3937.5,5013.586957,3937.5,5812.5,1875,58.666667,2.755192006,0.195822867,0
A6,noise_reared,female,A6_2_23_Theme_1_B,E,53,5625,4125,4852.5,3937.5,5625,1687.5,64,2.525592672,0.201156201,0
A6,noise_reared,female,A6_2_23_Theme_1_B,E,54,5437.5,3937.5,4695,3937.5,5437.5,1500,64,2.525592672,0.201156201,0
A6,noise_reared,female,A6_2_23_Theme_1_B,F,55,5625,2625,3679.245283,2625,5625,3000,280,1.039100985,0.529220639,0
A6,noise_reared,female,A6_2_23_Theme_1_B,G,56,2625,2812.5,2671.875,2625,2812.5,187.5,8,2.020474138,0.02171562,0
A6,noise_reared,female,A6_2_23_Theme_1_B,H,57,2812.5,1875,2572.916667,1875,2812.5,937.5,141.333333,0.571832303,0.209911434,0
A6,noise_reared,female,A6_2_23_Theme_1_B,I,58,2812.5,1875,3637.073864,1875,4687.5,2812.5,466.666667,6.130695813,3.07871329,27
A6,noise_reared,female,A6_2_23_Theme_1_B,C,59,6562.5,6375,6515.625,6375,6562.5,187.5,24,2.020474138,0.03771562,0
A6,noise_reared,female,A6_2_23_Theme_1_B,N,60,6750,6750,6956.25,6750,7500,750,29.333333,3.591954023,0.143683517,1
A6,noise_reared,female,A6_2_23_Theme_1_B,P,61,6750,3000,4970.424107,2625,7125,4500,312,7.645037279,2.519326656,20
A6,noise_reared,female,A6_2_23_Theme_1_B,K,62,4312.5,2812.5,3703.125,2812.5,4312.5,1500,40,4.040948276,0.179495679,0
A6,noise_reared,female,A6_2_23_Theme_1_B,K,63,3937.5,2625,3650,2625,4125,1500,37.333333,3.896628695,0.163113392,0
A6,noise_reared,female,A6_2_23_Theme_1_B,K,64,4125,3000,3691.40625,3000,4125,1125,40,2.424568966,0.12229372,0
A6,noise_reared,female,A6_2_23_Theme_1_B,L,65,3937.5,3375,4104.166667,3375,4312.5,937.5,117.333333,0.964317202,0.215682152,0
A6,noise_reared,female,A6_2_23_Theme_1_B,M,66,4312.5,5437.5,5031.25,4312.5,5437.5,1125,45.333333,2.139325558,0.127627054,0
